University,Abbreviation,Department,Course title,Unit,Professor,Objective,Prerequisite,Required Skills,Outcome,References,Scores,Description,Projects,University Homepage,Course Homepage,Professor Homepage
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Selected Topics in Histology,3.00,,,,,,,,"A focused histological and cell biological study of three selected mammalian tissues, organs and/or systems.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Mammalian Embryonic Development,3.00,,,,,,,,"Comprehensive overview of cellular and molecular mechanisms that direct embryogenesis including gastrulation, neurulation, establishment of body axes, differentiation, sex determination, limb development, organogenesis, and teratology. Participation in seminar presentations and group discussions is required.
LEARNING HOURS 114 (24L;12S;1I;77P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Research Topics In Anat & Cell,6.00,,,,,,,,"
",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Human Embryology,3.00,,,,,,,,"In ANAT 471, students work individually/collaboratively to explore stages of normal human embryonic and fetal development and how changes in underlying mechanisms link to common congenital or developmental abnormalities. Various assessments include quizzes, a journal club, a PBL investigating a developmental abnormality, a midterm and final exam.
LEARNING HOURS 120 (48O;72P).",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Research Project in Anatomy and Cell Biology,12.00,,,,,,,,"An examination of the development and present state of knowledge in selected research areas of Anatomy and Cell Biology. Research project involves experimental design, data collection and analysis, written report, poster presentation and oral presentation. Students will be required to attend seminars and tutorials on topics related to research. Limited enrolment; restricted to fourth year honours, permission of the department required.
NOTE Acceptance by a supervisor required prior to registration.
NOTE Students whose research requires the care and/or handling of animals must also complete the Introductory Animal Care Course and if required the appropriate Animal Use workshops through the Office of the University Veterinarian.
LEARNING HOURS 480 (288Lb;24G;24I;144P).",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anishinaabe (ANSH),Beginning Anishinaabe Language and Culture I,3.00,,,,,,,,"An introduction to the language and culture of the Anishinaabe people. This course is designed for those who have neither been exposed to Anishinaabemowin nor its traditional societal practices. Gain a rich understanding of the Anishinaabe people and their language at the beginning level.
LEARNING HOURS 120 (36L;84P).",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/ansh/,https://www.queensu.ca/english/people
Queens University,queenSU,Anishinaabe (ANSH),Beginning Anishinaabe Language and Culture Il,3.00,,,,,,,,"A continuation of ANSH 101. Students will participate and begin to develop the ability to read, write and speak some basic Anishinaabemowin and further their understanding of the rich culture, traditions and worldviews of the Anishinaabe people.
LEARNING HOURS 120 (36L;84P).",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/ansh/,https://www.queensu.ca/english/people
Queens University,queenSU,Arabic Language (ARAB),Introductory Arabic (Modern Standard),6.00,,,,,,,,"Introduction to the basic structures of Modern Standard Arabic. This course gives intensive training equally in listening, speaking, reading, and writing.
LEARNING HOURS 240 (72L;168P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arab/,https://www.queensu.ca/english/people
Queens University,queenSU,Arabic Language (ARAB),Intermediate Modern Standard Arabic,6.00,,,,,,,,"This intensive intermediate-level course is designed to provide a review of the basic elements of Modern Standard Arabic and continues the development of students' communicative skills in reading, writing, listening and speaking Arabic. It will offer an introduction to more complex syntactic and grammatical forms and structures, preparing students for carrying on a simple conversation, reading an intermediate level text, and understanding basic conversations.
LEARNING HOURS 240 (72L;168P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arab/,https://www.queensu.ca/english/people
Queens University,queenSU,Arabic Language (ARAB),Intermediate Arabic,3.00,,,,,,,,"
",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arab/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Introduction to Visual Studies,3.00,,,,,,,,"Course provides an introduction to interdisciplinary theories and concepts in the study of visual culture, to critically interrogate our increasingly visual world.
LEARNING HOURS 126 (36L;36O;54P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Art in the West from Antiquity to Modernity,6.00,,,,,,,,"A survey of famous and lesser-known works of painting, sculpture, architecture, and other art forms from Antiquity, the Middle Ages, the Renaissance, the Baroque, and the Modern Age. Themes include politics, religion, mythology, gender roles, techniques, conservation and intersections with non-western cultures.
NOTE Also offered online. Consult Arts and Science Online. Learning Hours may vary.
LEARNING HOURS 240 (48L;12T;48O;132P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Topics in Arts and Visual Cultures,3.00,,,,,,,,"
",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Art and Popular Culture,3.00,,,,,,,,"This course explores the relationship between the development of a ""popular culture"" and the visual arts between c. 1700-2000 in Europe and North America.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),"Caves, Cathedrals, Capitals: Introduction to World Architecture",3.00,,,,,,,,"Covering considerable territory, from the painted caves of Niaux in South-West France to megalithic monuments such as Stonehenge, from the villages of the Middle Ages to the cities of Modernity this course introduces key ideas, monuments, building technologies and protagonists in the history of Architecture from prehistory to present.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),An Introduction to Technical Art History,3.00,,,,,,,,"A course surveying the study of artists' materials and techniques through methods of examination such as X-radiography, infrared reflectography, dendrochronology, and high-resolution digital imaging.
LEARNING HOURS 120 (24L;12Pc;84P).",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Science  and Art Conservation:  Complexities and Controversies,3.00,,,,,,,,"This course will explore the scientific aspects of art conservation, including the materials found in cultural heritage, their degradation, and the scientific techniques used in their analysis. Topics to be discussed include conservation treatments and preventative conservation, as well as forgeries and conservation controversies in history.
LEARNING HOURS 120 (36L;12O;72P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Medieval Art,3.00,,,,,,,,"An introduction to the arts of the Middle Ages (c.300-1400) from the origins of Christian art under the Emperor Constantine, through the Early Christian, Byzantine, Romanesque and Gothic Periods.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Renaissance Art and Architecture before 1500,3.00,,,,,,,,"A study of Renaissance art and architecture before 1500 within the context of the social, political and economic history of Western Europe. Key monuments, themes and concepts will be stressed.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Renaissance Art and Architecture After 1500,3.00,,,,,,,,"A study of Renaissance art and architecture after 1500 within the context of the social, political and economic history of Western Europe. Key monuments, themes and concepts will be stressed.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Socially Engaged Art,3.00,,,,,,,,"An introduction to socially engaged art around the world. Using a case study approach, the course will consider the role of art and artists within social movements and study the practices of individual artists or collectives who use their work as a tool for social change.
LEARNING HOURS 120 (36L;84P).",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Impressionism & Post-Impression,3.00,,,,,,,,"This course offers a unique opportunity to study the art of Manet, Degas, Monet and Van Gogh, where many of the paintings studied will be viewed on gallery visits to London and Paris. Some of the classes will take place in the Musée D'Orsay in Paris and the National Gallery and Courtauld Institute in London. Further classes at Herstmonceux Castle explore gender debates, the French nude and Paris as the fashionable centre of modernity.
NOTE Offered only at the Bader International Study Centre, Herstmonceux. Students must participate in field trips.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Fashion and Art: From the Renaisance to the Present,3.00,,,,,,,,"This course considers the relationship between the fashion and art from the Renaissance to the present. Through an exploration of objects and images, it examines social and cultural changes in Western dress, artists' use of clothing to construct narratives, and fashion itself as a form of artistic representation.
LEARNING HOURS 120 (24L;12G;84P)
RECOMMENDED ARTH 120/6.0",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Modern Arts in a Globalizing World,3.00,,,,,,,,"This course examines the histories, meanings, and sites of modern arts in a globalizing world. Students become familiar with key art works, transnational and global networks of art, shifts in critical conceptions, and art historical problems surrounding modernity, modernisms, and modern arts.
LEARNING HOURS 120 (24L;12G;12O;72P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Contemporary Art in a Globalizing World,3.00,,,,,,,,"This course will examine the histories, meanings and sites of contemporary art in a globalizing world. Students will become familiar not only with the works themselves, but with shifts in critical conceptions and popular media that affect the production, display, circulation, and reception of contemporary art.
LEARNING HOURS 120 (24L;12G;12O;72P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Canadian Art I,3.00,,,,,,,,"A study of Canadian art from its beginnings through the nineteenth century. The nature and development of Canadian art within the context of the social, political and economic history of the country will be examined.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Canadian Art II,3.00,,,,,,,,"A study of Canadian art from the end of the nineteenth century. The nature and development of Canadian art within the context of the social, political and economic history of the country will be examined.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Introduction to African Arts,3.00,,,,,,,,"An introduction to the arts and visual culture of Africa, encompassing traditional or classic African arts, as well as modern and contemporary artists. The course also examines how the African art field was shaped, and its critical turning points.
Learning Hours: 120(36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Introduction to History of Photography,3.00,,,,,,,,"An introduction to the history of photography as technology, art, and social practice. Within the larger historical contexts of society and culture, this course surveys key developments and applications in France, England, and the United States, and their spread to other parts of the world, and considers the work of major photographers and their influence.
LEARNING HOURS 120 (24L;12G;24O;60P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Art & Architecture in Venice,6.00,,,,,,,,"Instruction in Venice based on daily study tours to the city's monuments and galleries. Each week a visit will be organized to an important centre in the Venice region.
NOTE Costs of travel and accommodation abroad must be paid by the student. Consult the Department for the costs involved.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Introduction to Indigenous Arts of North America,3.00,,,,,,,,"An introduction to the arts and visual culture of the Indigenous peoples of North America from north of the Rio Grande to the Arctic, encompassing pre-history, colonialism, and the modern period. Key works from six regional zones are studied in their historical and cultural contexts.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),"Art, Society, and Culture",3.00,,,,,,,,"An introduction to the social conditions and cultural movements that shaped European visual art of the nineteenth century in its global context. The course will stress the tension between modernity and anti-modernism as well as competing views on the very nature of visual art.
NOTE Only offered online. Consult Arts and Science Online.
LEARNING HOURS 120 (48O;72P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Baroque Art,3.00,,,,,,,,"A survey of the visual culture of Europe and its colonies in the Baroque age (ca. 1580-1750). Attention is given to developments in all aspects of the visual arts, with emphasis on painting, sculpture, architecture, and the graphic arts, and on the achievements of artists such as Rembrandt, Rubens, Poussin, Velasquez, and Bernini.
LEARNING HOURS 120 (36L;84P)
RECOMMENDATION ARTH 120/6.0.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Culture and Conflict,3.00,,,,,,,,"An investigation of the impact of war on art and architecture, as well as human attempts to preserve cultural heritage. A chronological or thematic approach may be taken, with focus placed on one or more case studies, such as: the Sacks of Rome, the Napoleonic wars, Nazi looting, the Cultural Revolution in China, and Afghanistan under Taliban rule.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Heritage in Danger,3.00,,,,,,,,"A thematic introduction to the threats posed to cultural heritage, in the past and the present, and approaches to the preservation of heritage. The course will consider both environmental disasters and damage caused by human hands. Case studies will feature many UNESCO World Heritage sites.
LEARNING HOURS 120 (36S;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Latin American Art,3.00,,,,,,,,"Surveys the art and architecture of Latin America from the pre-Hispanic period to the present, from Patagonia to California. Particular attention is paid to the contribution of aboriginal artists and traditions to colonial visual culture and the built environment. Considers the rise of the academies, Nationalism, Indigenism, Romanticism, Modernism (Kahlo, Rivera, Tarsila), Madí and Chicano muralism.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Introduction to Global Design History,3.00,,,,,,,,"This course will introduce students to the history of design from the eighteenth-century to the present day in the context of global exchange, colonialism, and industrialization.
LEARNING HOURS 120 (36L;84P).",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Artists and Artisans in South Asia,3.00,,,,,,,,"
",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Art Worlds,3.00,,,,,,,,"This course introduces students to key institutions of art by studying their histories, current practices, and future challenges. Using a case study approach to institutions including museums, artist-run centres, auction houses, and private galleries, the course develops students' understanding of art worlds both in Canada and globally.
LEARNING HOURS 114 (24L;12G;18O;60P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Architecture 1900 to the Present,3.00,,,,,,,,"An examination of architecture as it has developed in relation to the economies, technologies, and social practices of the modern world. Our focus will include architectural aesthetics, materials, structures, technologies, and spaces.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Self/Image: The Portrait,3.00,,,,,,,,"From ancient Egyptian mummies to contemporary selfies, visual portraits have reflected and shaped ideals of personal and collective identity in diverse cultures and historical periods. This course explores the art of portraiture and its significance in human society. Specific case studies may vary.
NOTE Also offered at the Bader International Studies Centre, Herstmonceux. Learning Hours may vary.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Art and Health Equity,3.00,,,,,,,,"
",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),The Artwork as Material Object,3.00,,,,,,,,"A study of selected objects with a focus on materials and meanings.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Issues in Contemporary Art and Popular Culture,3.00,,,,,,,,"This course examines intersections between art and popular culture in the late twentieth and twenty-first centuries. Students will develop an understanding of the histories of the terms ""ART"" and ""popular culture"", how they have been defined, historically opposed, and are contemporary art (e.g. Fluxus, manga, Tropicalia, net.art and post-internet).
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Issues in the History of Canadian Art,3.00,,,,,,,,"A selective examination of issues in Canadian art history and historical practice, especially as they inform the production and critique of the history of Canadian art.
LEARNING HOURS 120 (30L;6Oc;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Topics in Modern and Contemporary Art History,3.00,,,,,,,,"An examination of one aspect of modern and/or contemporary art history. Possible areas of investigation include the study of an issue important to the art of the modern and/or contemporary period, as well as the study of the methods and historiographic positionings of art historians working today.
LEARNING HOURS 120 (30L;6Oc;84P)
RECOMMENDATION ARTH 226/3.0 and ARTH 228/3.0.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Modern Architecture in Germany: A Social History,3.00,,,,,,,,"This course examines German architecture, 1815 to 1945, as an important part of social practice. Buildings and monuments from German Confederation to the Third Reich will be understood according to the values they expressed and perpetuated, through their aesthetics, their materials, and their spaces.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Romanesque: Art and Historicism in Europe c.800-1150,3.00,,,,,,,,"This course considers the retrospective tendencies in art of the so-called 'Romanesque period' leading up to the 'Gothic'. Considering monuments across all media, we discuss concepts of artistic development in cathedral, monastic and secular settings. We will also consider modes of 'reading' and interpretation of medieval art in terms of contemporary modes of perception.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
Queens University,queenSU,Art History (ARTH),Gothic Art in Europe c.1150-1400,3.00,,,,,,,,"This course examines the changes in European art later known as 'Gothic'. With a focus on England, France, Spain, Italy and Germany, this class will consider major monuments across the media, from manuscript painting, to architecture, stained glass, sculpture and ars sacra. Throughout, monuments will be placed in their appropriate social, historical and patronal contexts.
LEARNING HOURS 120 (36L;84P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/arth/,https://www.queensu.ca/english/people
